date,full_name,stars,forks,open_issues,created_at,pushed_at,top_contributors
2026-08-31,HKUDS/Vibe-Trading,32150,5255,44,2026-04-01T09:52:20Z,2026-08-30T18:02:17Z,warren618;santhreal;shadowinlife;xkam7ar;cgycorey
2026-08-31,IBM/mcp-context-forge,4393,848,1165,2025-05-08T08:16:59Z,2026-08-31T09:26:29Z,crivetimihai;madhav165;kevalmahajan;rakdutta;jonpspri
2026-08-31,Zeejay0/gathered-scenes-zine-skill,4630,469,12,2026-08-01T15:50:05Z,2026-08-24T09:29:24Z,Zeejay0
2026-08-31,deeplethe/utopia,740,65,5,2026-08-07T19:33:17Z,2026-08-31T04:08:42Z,WaylandYang
2026-08-31,kaifcodec/user-scanner,3904,434,13,2025-10-19T04:21:48Z,2026-08-31T07:53:59Z,kaifcodec;brunolm;VamatoHD;json-hunter07;kristoisberg
2026-08-31,blader/humanizer,39129,3419,24,2026-01-18T05:30:15Z,2026-08-19T05:58:53Z,blader;mvanhorn;MackDing;marcoenricovd-lang;Kutomore
2026-08-31,herdrdev/herdr,33858,2479,270,2026-03-27T17:54:33Z,2026-08-30T22:55:23Z,ogulcancelik;kangal-bot;akbash-bot;Pimpmuckl;dhh
2026-08-31,langchain-ai/langchain,145323,24250,431,2022-10-17T02:58:36Z,2026-08-31T08:19:33Z,baskaryan;hwchase17;ccurme;mdrxy;eyurtsev
2026-08-31,MadsLorentzen/ai-job-search,38766,13147,9,2026-03-18T14:33:04Z,2026-08-30T18:27:51Z,MadsLorentzen;ayobamiseun;oscarbol09;LeoWinston-9596;erikpr1994
2026-08-31,jhipster/generator-jhipster,22446,4190,91,2013-10-21T20:07:22Z,2026-08-31T08:42:10Z,mshima;DanielFran;jdubois;deepu105;pascalgrimaud
2026-08-31,ZzzLc0405/photo-abstract-editorial,5148,324,11,2026-08-04T09:35:31Z,2026-08-19T03:31:31Z,ZzzLc0405
2026-08-31,rocketride-org/rocketride-server,7568,2761,410,2026-02-11T17:02:53Z,2026-08-31T02:19:13Z,Rod-Christensen;kwit75;asclearuc;ryan-t-christensen;anandray
2026-08-31,immich-app/immich,113053,6770,703,2022-02-03T15:56:27Z,2026-08-31T07:49:50Z,alextran1502;jrasm91;shenlong-tanwen;mertalev;danieldietzler
